name,interview questions
ATF,"The interview question was about my previous jobs, skill set, management skills and previous office related job responsible. The interview last about a hour and half."
Acclaris,"Most difficult questions were related to SQL specifically. They want a senior PL/SQL developer and not just a basic SQL user as it was mentioned on job description. Nested queries, decoding SQL queries."
Amazon,"how did you analyze data? Who uses your data analysis results? how large is the data set you work with? sql question one: the first table is customer purchase table, with five columns, customer id, purchase date, product id, unit price, unit purchased, write queries to retrieve data with unique customer id that made over $100 purchase in the past seven days. sql question two: a second table is the customer details table, with two columns, customer id, registration date, write queries to retrieve data with unique customer id that made over $100 purchase who registered in the past ten days. probability question: what is the probability of generating ten consecutive numbers in ascending order out of 100 numbers? this is a random number generation question."
American Express,How many quarters at any given time are in a shopping mall how where are they located?
American Greetings,Tell me about what makes me stand out from other potential applicants.
American Power and Gas,Write Queries using Join
Apple,What makes you different from the other analysts?
Arch Capital,Do you have experience in Data Modeling?
Argus Information & Advisory Services,What is interchange?
Assured Guaranty,"GO's are typically viewed as the safest of bonds, do you feel that there is such a thing as a full proof bond?"
Availity,Tell me about yourself
Bell Info Solutions,How do you troubleshoot performance problems in SQL Server?
Benchmark Education,"They asked me to do a Excel Test, without telling me beforehand of it."
Benefit Cosmetics,Revenues and page views are down for the eCommerce site. What things would you look into to figure out why?
Biotechnology Innovation Organization,What's your experience with conventions and exhibitions.
Bird,"Basic phone interview asking about experience, why would be a good fit, etc. Then a technical challenge"
Bird,Find for each day what is the number of “Birds” (their product) what is the net PROFIT
Bird,Day over day profit per day
Bird,Find for each day what is the number of “Birds” (their product) what is the net PROFIT
BlackRock,Most of the questions were regarding my work experience so far. And a few logic questions like what is the angle between the hours hand and minutes hand when the time is 3:15; How do I identify which switch corresponds to which light bulb when the switches are in one room and the bulbs are in another and given that I can enter the room with bulbs only once.
Bloomberg L.P.,Where would you put a coffee machine in a car? How do you explain a vending machine to someone who hasn't seen or used one before?
Bloomberg L.P.,Where would you put a coffee machine in a car? How do you explain a vending machine to someone who hasn't seen or used one before?
Bloomberg L.P.,What is one issue with big data today? And how would you solve it?
Bloomberg L.P.,What does the following code produce? Why Bloomberg? Why are you interested in Finance? What do you look for when you invest in a company? (I interviewed for the equities team)
Bloomberg L.P.,What does our market data analyst do?
Bloomberg L.P.,"If you are not Japanese, they will ask you to read some random Japanese newspaper."
Blue Apron,How I would plan meals
Blue Cross and Blue Shield Association,Strengths and Weakness
Bridgewater Associates,Do you approve of abortion?
CFA Institute,Your internship experience and software-using experience.
CMC,What is EBITDA?
CME Group,"How to short vega and long gamma, or short gamma and long vega using European call options only?"
CME Group,What are the differences between Python and C++?
COTA,Tell me about vlookup function in Excel. What would be the substitute functions for vlookup?
Caesars Entertainment,What is your experience with scraping algorithms.
Calpine,"Ridiculous questions like; Before Mt. Everest was discovered, what was the tallest mountain in the world?"
Capital One,Describe a time when you had to use persuasion to influence other's opinions.
Capital One,Wheat harvesting case using tractor and calculating break even point. Campaign success measurement - using alpha beta testing.
Capital One,"A coding company with a new contract. Divided in two cases : 1. short-term contract, 2. long-term contract It was desired to see how the company should deal with the new contract."
Capital One,"The case studies were business situations about offering customers incentives, market segmentation analyses, calculating expected profits, break-even quantities, and deciding on a final course of business action."
Capital One,Check deposit case
Capital One,References?
