Python,R,Tools,Machine Learning,Data Engineering,Statistics,Business,Education
bokeh,dplyr,chartio,ai,algorithms,bayesian inference,administration,bachelor's
matplotlib,ggplot,data studio,classification,apache,bayesian statistics,agile,computer science
numpy,knitr,excel,clustering,aws,forecasting,communication,engineering
pandas,lubridate,git,data mining,azure,hypothesis testing,data analysis,master's
plotly,r,google analytics,decision trees,backend,distribution,goverance and compliance,math
python,shiny,java,deep learning,big data,probability,business intelligence,statistics
scikitlearn,tidyr,jupyter,ensemble models,cloud computing,scientific method,problem solving,
scipy,tidyverse,looker,feature engineering,cloud management,statistical modeling,product design,
scipy,,matlab,keras,data cleaning,structured data,project management,
seaborn,,mode,knn,data collection,unstructured data,report,
sklearn,,outlook,logistic regression,data management,,testing,
,,power bi,machine learning,data quality,,,
,,powerpoint,naive bayes,data warehouse,,,
,,salesforce,nlp,database administration,,,
,,sas,optimization,database management,,,
,,software development,predictive modeling,databrick,,,
,,tableau,preprocessing,docker,,,
,,visualization,random forest,etl,,,
,,,regression,frontend,,,
,,,support vector machines,google big query,,,
,,,svd,hadoop,,,
,,,svm,hive,,,
,,,svr,kubernetes,,,
,,,tensor flow,mongodb,,,
,,,time series,ms sql,,,
,,,,nosql,,,
,,,,postgres,,,
,,,,scala,,,
,,,,spark,,,
,,,,sql,,,
,,,,teradata,,,
,,,,wrangling,,,
